Student,Section,HW1 (964255),HW2 (965903),HW3 (967257),HW4 (968731),Probl Bank M1 (967258),03-31 (954343),04-02 (959106),04-04 (960143),04-07 (960865),04-09 (961591),04-11 (962250),04-14 (963050),04-16 (963544),04-18 (964016),04-21 (964564),04-23 (965228),04-25 (965710),04-28 (965990),04-30 (966636),05-02 (967106),05-05 (967480),05-07 (967949),05-09 (968441),DI WK 1 (958415),DI WK 2 (961410),DI WK 3 (963056),DI WK 4 (964863),DI WK5 (965902),DI WK 6 (967781),Week 2 HW - Precalc 2e Section 1.1 (959893),Week 2 HW - Precalc 2e Section 1.2 (959895),Week 3 HW - 1.3 Precalc 2e (961458),Week 3 HW - 1.5 Precalc 2e (961459),Week 4 HW - 2.1 Precalc 2e (963053),Week 4 HW - 2.2 Precalc 2e (963054),Week 4 HW - 2.3 Precalc 2e (963055),Week 5 HW - 1.5 CA / 2.5 P (964862),Week 6 HW - 3.2 Precalc 2e (965987),Week 7 HW - 3.3-3.4 Precalc 2e (967483),Midterm 1 (967259),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seat Assignments Final Score,Seat Assignments Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
Student 76,MATH 3B - A04 [848369],45,39,44.5,43,45,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,,,,10,9,10,10,1,1,1,1,1,9,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,91.5,90.47,90.47
Student 77,MATH 3B - A03 [848368],45,43,44.25,45,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,10,9,10,10,1,1,1,1,1,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.61,90.61,87.63,87.63
Student 78,MATH 3B - A03 [848368],41,42,32.5,33,,1,1,1,,1,,1,,,,1,,1,1,,,,1,1,1,1,,,,10,9,0,0,1,1,1,1,,,32.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.77,68.77,61.5,61.5
Student 79,MATH 3B - A02 [848359],43,33,0,0,,1,1,,1,,1,1,,1,,1,1,1,,1,1,,,,1,,,1,,10,9,10,10,1,1,1,1,,9,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.37,79.37,75.28,75.28
Student 80,MATH 3B - A03 [848368],42,42,43.5,42,45,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,1,,,10,9,10,10,1,1,1,1,,,34.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.82,77.82,73.85,73.85
Student 81,MATH 3B - A01 [848358],44,41,38.5,34.5,45,,,,0,0,,1,,,,,,1,,,,,,,1,,1,1,1,10,9,10,10,1,1,1,1,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.53,88.53,84.15,84.15
Student 82,MATH 3B - A03 [848368],44,41.5,39.5,42,45,1,1,,,1,1,1,1,1,1,1,,1,,1,,1,1,1,1,,1,,,10,9,10,10,1,1,1,1,,,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1,86.1,81.73,81.73
Student 83,MATH 3B - A03 [848368],42,30,44.5,37,,1,,1,1,1,1,1,1,1,1,,,1,,,1,1,,1,1,,1,,,10,9,10,0,1,1,1,1,1,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4,66.4,59.31,59.31
Student 84,MATH 3B - A01 [848358],,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,0.39,0.39
Student 85,MATH 3B - A03 [848368],42,44,41,35,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,9,10,10,1,1,1,1,,,38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.99,79.99,77.14,77.14
Student 86,MATH 3B - A02 [848359],44,44,44.25,43,45,1,,1,1,1,1,1,1,,1,1,,1,,1,1,,,1,1,1,1,1,,10,9,10,10,1,1,1,1,1,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.96,96.96,93.29,93.29
Student 87,MATH 3B - A04 [848369],40,40,44,42,45,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,10,9,10,9,1,1,1,1,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.41,89.41,86.17,86.17
Student 88,MATH 3B - A04 [848369],45,38,44.5,42,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,10,9,10,10,1,1,1,1,,,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.32,86.32,83.02,83.02
Student 89,MATH 3B - A03 [848368],22,37,37,30,40,1,1,1,1,1,1,1,1,,1,1,,1,,,1,,,1,1,,,,,7,9,8.89,8,1,0.88,0.86,0.89,,,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69,33.69,29.43,29.43
Student 90,MATH 3B - A01 [848358],45,42,37.25,43,45,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,10,9,10,10,1,1,1,1,,,39.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.51,83.51,80.2,80.2
Student 91,MATH 3B - A02 [848359],45,45,44.25,40,45,1,1,1,1,1,,1,1,1,1,1,,1,,,1,1,,1,1,,,,,10,9,10,10,1,1,1,1,,,47.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.59,94.59,90.14,90.14
Student 92,MATH 3B - A02 [848359],43,36,32.75,42,45,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,10,10,1,1,1,1,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.42,43.42,40.67,40.67
Student 93,MATH 3B - A04 [848369],45,45,44.5,43,45,,,1,1,1,,1,1,1,,1,,1,1,1,1,1,1,,1,1,1,,,10,9,10,10,1,1,1,1,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.56,77.56,73.19,73.19
Student 94,MATH 3B - A02 [848359],,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,0,,,,,,,,,0,0,,,,,,,16.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.21,32.21,24.64,24.64
Student 95,MATH 3B - A02 [848359],43,,,,45,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,1,,,1,,1,10,9,0,0,1,1,1,1,1,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.77,95.77,81.49,81.49
Student 96,MATH 3B - A02 [848359],,,,,,,,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,0,0,,,,,,,32.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.07,58.07,43.14,43.14
Student 97,MATH 3B - A01 [848358],35,35,39,39.5,45,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,10,9,10,10,1,1,1,1,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.05,88.05,83.88,83.88
Student 98,MATH 3B - A02 [848359],38,45,37.5,38.5,45,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,10,9,3.33,5,1,1,1,1,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.95,91.95,89.34,89.34
Student 99,MATH 3B - A01 [848358],45,43,45,42,45,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,10,9,10,10,1,1,1,1,1,,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.59,64.59,61.78,61.78
Student 100,MATH 3B - A01 [848358],34,34,43,39,45,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,,1,10,9,10,10,1,1,,0.94,,,43.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.19,87.19,83.76,83.76
Student 101,MATH 3B - A02 [848359],43,0,41.75,35,45,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,10,9,10,10,1,1,1,1,1,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.12,71.12,68.03,68.03
Student 102,MATH 3B - A02 [848359],45,44,44.5,43,45,,1,1,1,,,1,1,1,,1,1,1,,,,1,,1,,,,1,,10,9,10,10,1,0.88,1,1,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.21,89.21,84.18,84.18
Student 103,MATH 3B - A04 [848369],,45,44.5,40.5,45,1,1,1,1,1,1,1,1,,,1,,1,,1,,1,1,1,1,,1,,,10,9,10,10,1,1,1,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.22,94.22,85.82,85.82
Student 104,MATH 3B - A04 [848369],45,,21,,,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,,1,,1,1,,,,10,9,10,10,1,1,1,1,,2,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.67,49.67,38.88,38.88
Student 105,MATH 3B - A02 [848359],,,,,,1,,1,1,1,0,1,,,,1,,1,,,,,,1,1,,,1,,10,9,0,0,,,,0.11,,,33.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.04,65.04,48.24,48.24
Student 106,MATH 3B - A01 [848358],42,28,42,43,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,10,9,7.78,9,0.83,0.88,1,1,0.88,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.83,76.83,74.33,74.33
Student 107,MATH 3B - A01 [848358],43,44,43,40,45,,,,1,1,1,1,,,1,1,0,1,,0,,,1,,,1,1,1,1,,,10,10,1,1,1,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.45,94.45,87.43,87.43
Student 108,MATH 3B - A03 [848368],41.5,42,44.5,43,45,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,10,9,10,10,1,1,1,1,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.66,92.66,89.08,89.08
Student 109,MATH 3B - A03 [848368],41.5,34.5,42,38.5,45,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,10,9,10,9,1,1,1,1,1,,44.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,88.9,85.78,85.78
Student 110,MATH 3B - A01 [848358],35.5,40,,,,,,1,1,1,,1,1,,1,,,1,,,,,,,1,,1,1,,10,9,0,0,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.05,82.05,67.68,67.68
Student 111,MATH 3B - A03 [848368],21,38,29.5,38,45,1,1,1,1,1,,1,1,,1,,,1,,,,,,,1,1,1,,,10,9,10,10,1,1,1,1,,,32.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.73,70.73,65.78,65.78
Student 112,MATH 3B - A04 [848369],45,45,44.5,,45,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,1,,,,10,9,10,10,1,1,1,1,,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.68,96.68,88.63,88.63
Student 113,MATH 3B - A01 [848358],42,40,39.25,35.5,45,1,1,1,1,1,1,1,0,1,1,1,1,1,,,1,,1,1,1,1,1,1,,10,9,10,10,1,1,1,1,,,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.57,70.57,67.19,67.19
Student 114,MATH 3B - A04 [848369],42,45,44.5,42,45,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,10,9,10,10,1,1,1,1,1,,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.11,65.11,61.74,61.74
Student 115,MATH 3B - A02 [848359],43,43,44.5,41,45,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,10,9,10,10,,1,1,1,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.02,94.02,90.66,90.66
Student 116,MATH 3B - A04 [848369],42,31.5,38,32.5,45,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,,10,9,10,9,1,1,1,1,,,23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.33,60.33,56.89,56.89
Student 117,MATH 3B - A03 [848368],44,41,41,42,45,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,,,10,9,10,10,1,1,1,1,,5,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.93,91.93,90.6,90.6
Student 118,MATH 3B - A04 [848369],45,40,43.75,42,45,1,1,,1,1,,1,,,,,,1,1,,,1,,1,,1,1,,,10,9,10,10,1,1,1,1,,13,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.58,77.58,74.86,74.86
Student 119,MATH 3B - A01 [848358],35,,36,34.5,45,,,,,,,1,1,,1,,1,1,,,,1,1,,,,,,,,,8.89,6,,0.5,1,0.94,,,32.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.65,69.65,59.04,59.04
Student 120,MATH 3B - A01 [848358],36,44,40.5,36,45,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,10,10,1,1,1,1,,2,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.12,92.12,89.4,89.4
Student 121,MATH 3B - A02 [848359],21,7,30.5,0,45,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,10,9,8.89,10,0.83,0.88,0.86,0.89,,,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.41,45.41,42.18,42.18
Student 122,MATH 3B - A04 [848369],38,38,44.5,35,45,1,,1,1,1,,1,1,,,1,1,1,,1,,,,1,1,1,,,,10,9,10,10,1,1,1,1,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.53,62.53,57.77,57.77
Student 123,MATH 3B - A04 [848369],36,32,37.5,32.5,45,,1,1,1,,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,,,10,9,10,10,,,,1,,,41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.52,83.52,79.22,79.22
Student 124,MATH 3B - A03 [848368],42,,,15,,1,1,,,,1,1,,,,,1,1,,1,,1,,1,1,,,,,10,9,10,10,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,80.9,67.33,67.33
Student 125,MATH 3B - A04 [848369],41,42,44.5,34,45,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,10,9,10,9,1,1,1,1,1,,33.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.96,74.96,71.65,71.65
Student 126,MATH 3B - A01 [848358],41,39,40,42,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,10,,10,10,1,1,1,1,1,,37.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.43,80.43,76.52,76.52
Student 127,MATH 3B - A04 [848369],30,,43,31.5,45,,,,1,1,,1,1,,1,1,,1,1,,,,,,,1,1,,,10,9,0,0,1,1,1,0.94,,,37.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4,75.4,67.84,67.84
Student 128,MATH 3B - A01 [848358],39.5,36.5,40.25,40.5,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,10,9,0,0,,,,,1,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,71.2,64.46,64.46
Student 129,MATH 3B - A01 [848358],45,38,40.5,37.5,45,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,,1,10,9,10,10,1,1,1,1,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.16,89.16,85.66,85.66
Student 130,MATH 3B - A04 [848369],44,39,41.25,43,45,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,,10,9,10,10,1,1,1,1,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.87,98.87,95.28,95.28
Student 131,MATH 3B - A04 [848369],43,41,42.5,41.5,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,10,9,10,10,1,1,1,1,,,38.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.27,82.27,78.88,78.88
Student 132,MATH 3B - A04 [848369],41,37,42,34,45,1,1,,,,,1,,1,,,,1,,,,,1,1,1,1,1,,,10,9,10,10,1,1,1,1,,,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.04,47.04,41.57,41.57
Student 133,MATH 3B - A03 [848368],43,42,43,43,45,1,,,,,,1,0,,,,,1,,,,,,1,1,,,,,10,9,10,10,1,1,1,1,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.06,97.06,91.48,91.48
Student 134,MATH 3B - A04 [848369],,,,,,,,,,,,1,,,,0,,1,,,,,,,,,,,,,,0,10,1,1,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.23,59.23,2.21,2.21
Student 135,MATH 3B - A03 [848368],41.5,40,43.25,37,45,1,1,1,,1,,1,1,,,,,1,1,,1,1,,1,1,,,,,10,9,10,10,1,1,1,1,,,40.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.33,84.33,79.29,79.29
Student 136,MATH 3B - A04 [848369],38.5,42,44.25,42.5,45,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,,,10,9,10,9,1,1,1,1,,,47.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.77,93.77,90.05,90.05
Student 137,MATH 3B - A02 [848359],28.5,31,45,35,45,,,,,1,,1,,,1,,,1,,,,,,,1,,1,,,10,9,10,10,1,1,1,1,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.79,76.79,70.58,70.58
Student 138,MATH 3B - A01 [848358],45,44,44.25,34,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,10,9,10,10,1,1,1,1,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.25,96.25,93.5,93.5
Student 139,MATH 3B - A04 [848369],,43,44.25,,45,,,,1,0,,1,1,,0,,,1,,,,,,,1,,,,,10,9,10,10,1,1,1,1,,,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,51.1,37.88,37.88
Student 140,MATH 3B - A03 [848368],45,45,41,41,45,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,10,9,10,10,1,1,1,1,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.37,95.37,92.06,92.06
